,genre_ids,id,overview,popularity,release_date,title,vote_average,vote_count
0,[99],436244,"This Traveltalk series short visits an array of locations associated with England's heritage. Included are Runnymede, Windsor, Ascot, Lincoln, Wells, Salisbury, Glastonbury, and the ancient Stonehenge site.",0.6,1950-01-20,Land of Tradition,7.0,1
1,[35],292698,"Good-natured and devout, a French house painter takes the train to Rome, where he has decided to go on a pilgrimage. There he meets a scatterbrained dresser who has been assigned by a music hall star to bring her the gown she is to wear on stage. The two men get stolen by Cleo, a charming thief. Once in Rome, the painter finds himself penniless and the dresser without the gown...",1.569,1950-02-18,I'm in the Revue,5.2,6
2,"[18, 10752]",466960,"Women Without Names (Italian:Donne senza nome) is 1950 Italian drama film directed by Géza von Radványi and starring Simone Simon, Vivi Gioi and Françoise Rosay.[1] It is set in a displaced persons camp after the Second World War.  It was made at Cinecittà in Rome.",0.738,1950-03-03,Women Without Names,6.3,3
3,[99],306911,Short Documentary about a garden with strange sculptures near Rome.,0.6,1950-04-05,The Villa of Monsters,6.0,1
4,"[35, 80]",142286,"Director Alexander Hall's 1950 comedy, about a crude gangster hopelessly falling for a sweet young city government employee, stars Paul Douglas, Jean Peters, Cesar Romero, Keenan Wynn, Joan Davis, Arthur Treacher, Jay C. Flippen, Barry Kelley, Leon Belasco, Clara Blandick, John Doucette, Arthur O'Connell and Charles Lane.",1.199,1950-06-06,Love That Brute,6.0,1
5,"[80, 18]",259701,"A police chief stationed in Egypt sets out to crack down on drug traffickers along the frontiers. With his assistant, he attempts to block the smugglers' passage along the notorious Cairo Road route into the country.",1.816,1950-06-21,Cairo Road,5.9,4
6,[99],387220,"This Traveltalks short visits cities and towns along the Thames River. It begins in London, with views of Cleopatra's Needle and the Tower Bridge. We then visit the Trout Inn at Oxford, a favorite gathering place for students at the university. After a short look at Eton, it's off to Henley-on-Thames and the world-famous regatta.",0.6,1950-08-26,Life on the Thames,6.0,1
7,[12],43388,Adventurer Allan Quartermain leads an expedition into uncharted African territory in an attempt to locate an explorer who went missing during his search for the fabled diamond mines of King Solomon.,4.518,1950-11-09,King Solomon's Mines,6.5,73
8,[],146352,"In Rome, a beautiful young model named Donina is hired by a sculptor, Leonardo, inspired her to do a statue he hopes will be his masterpiece. The striking statue of Prince Florencio, heir to the throne of Preslavia, who presented at the banquet in his villa in Rome. Soon their beauty is all the rage across the country, the girl is the feeling of the moment and decides to leave with her ​​prince, leaving behind all his life, including his daughter, who leaves her under the protection of Leonardo.",0.946,1950-12-29,La noche del sábado,5.0,2
9,[],308068,Loosely based on Shakespeare's Romeo and Juliet,0.6,1951-01-01,Madhosh,4.0,1
10,[99],534496,"Short travelogue film about Egypt. Produced by Castle Films as part of their series, 'The World Parade’.",0.6,1951-01-01,Land of the Pyramids,10.0,1
11,"[14, 10402, 10749]",44334,"In this film adaptation of the Offenbach opera, a young poet named Hoffman broods over his failed romances. First, his affair with the beautiful Olympia is shattered when he realizes that she is really a mechanical woman designed by a scientist. Next, he believes that a striking prostitute loves him, only to find out she was hired to fake her affections by the dastardly Dapertutto. Lastly, a magic spell claims the life of his final lover.",3.381,1951-04-04,The Tales of Hoffmann,6.9,43
12,"[18, 10749, 36]",42567,"King David enters into an adulterous affair with the beautiful Bathsheba, which has tragic consequences for his family and Israel.",5.758,1951-08-10,David and Bathsheba,6.4,35
13,[99],334370,"This TravelTalk short focuses on the ancient ruins in Rome, the leaning tower of Pisa, and the architecture in Florence, Italy.",0.6,1951-08-25,Visiting Italy,5.5,2
