name,title list,actor_id,gender,character,actor_popularity,movie_id,title
Everett McGill,Quest for Fire,5616.0,2.0,Naoh,1.571,62204,Quest for Fire
Ron Perlman,"Quest for Fire, The Scorpion King 3: Battle for Redemption",2372.0,2.0,Amoukar,12.485,62204,Quest for Fire
Nicholas Kadi,Quest for Fire,152970.0,2.0,Gaw,0.6,62204,Quest for Fire
Rae Dawn Chong,Quest for Fire,13312.0,1.0,Ika,3.781,62204,Quest for Fire
Gary Schwartz,Quest for Fire,184330.0,2.0,Rouka - tribu Ulam,0.6,62204,Quest for Fire
Naseer El-Kadi,Quest for Fire,1336078.0,0.0,Nam - tribu Ulam,0.6,62204,Quest for Fire
Franck-Olivier Bonnet,Quest for Fire,578093.0,2.0,Aghoo - tribu Ulam,0.652,62204,Quest for Fire
Jean-Michel Kindt,Quest for Fire,1336080.0,2.0,Lakar - tribu Ulam,0.608,62204,Quest for Fire
Kurt Schiegl,Quest for Fire,1195963.0,2.0,Faum - tribu Ulam,0.6,62204,Quest for Fire
Brian Gillin,Quest for Fire,1282685.0,0.0,Modoc - tribu Ulam,0.6,62204,Quest for Fire
Terry Fitt,Quest for Fire,1336082.0,0.0,Hourk - tribu Ulam,0.6,62204,Quest for Fire
Bibi Caspari,Quest for Fire,1336083.0,0.0,Gammla - tribu Ulam,0.6,62204,Quest for Fire
Peter Elliott,Quest for Fire,536274.0,2.0,Mikr - tribu Ulam,0.98,62204,Quest for Fire
Michelle Leduc,Quest for Fire,1336085.0,0.0,Matr - tribu Ulam,0.6,62204,Quest for Fire
Robert Lavoie,Quest for Fire,1336086.0,0.0,Tsor - tribu Ulam,0.6,62204,Quest for Fire
Christian Benard,Quest for Fire,1336088.0,0.0,Umbre - tribu Ulam,0.6,62204,Quest for Fire
Tarlok Sing Seva,Quest for Fire,1336089.0,0.0,Tavawa - tribu Ivaka,0.6,62204,Quest for Fire
Lolamal Kapisisi,Quest for Fire,1336092.0,0.0,La faiseur de feu - tribu Ivaka,0.6,62204,Quest for Fire
Matt Birman,Quest for Fire,72117.0,2.0,Morah - tribu Ulam,0.98,62204,Quest for Fire
Joy Boushel,Quest for Fire,57626.0,1.0,Ulam Tribe Member,3.217,62204,Quest for Fire
Sasha Grey,Homo Erectus,74251.0,1.0,Cavegirl,28.964,14641,Homo Erectus
David Carradine,Homo Erectus,141.0,2.0,Mookoo,5.464,14641,Homo Erectus
Carol Alt,Homo Erectus,52087.0,1.0,Queen Fallopia,0.84,14641,Homo Erectus
Talia Shire,Homo Erectus,3094.0,1.0,Ishbo's Mother,7.399,14641,Homo Erectus
Adam Rifkin,Homo Erectus,50583.0,2.0,Ishbo,1.094,14641,Homo Erectus
Ali Larter,Homo Erectus,17303.0,1.0,Fardart,10.443,14641,Homo Erectus
Hayes MacArthur,Homo Erectus,74930.0,2.0,Thudnik,1.96,14641,Homo Erectus
Gary Busey,Homo Erectus,2048.0,2.0,Krutz,6.693,14641,Homo Erectus
