genre_ids,id,overview,popularity,release_date,title,vote_average,vote_count,keyword,est_date,date
"[12, 18]",62204,"A colossal adventure odyssey that turns back the hands of time to the very beginning of man's existence. 80,000 years ago, when man roamed the earth, he was exposed to the many harsh elements of nature. Against the perilous atmosphere of rugged terrain, rival tribes and savage beasts, Quest for Fire examines a peaceful tribe's search for that all important element fire, and the knowledge to create it. Focusing on human dream as well as realistic insights into pre-historic man, the constant struggle for survival is vividly recreated in this sensational production.",7.7,12/16/1981,Quest for Fire,7.1,356,['pre-historic'],[-10000],-100000
[],338039,"In the last Ice Age, a family of Cro-Magnons battle a tribe of primitive Neanderthals for survival.",0.6,12/11/1974,The Tribe,5,2,['Neanderthals'],[-15000],-50000
[35],14641,"Ishbo is a caveman living in the prehistoric age who thinks there's more to life than hunting and gathering. He tries to better the lives of those in his tribe by inventing things like spoons and the toothbrush, which leave everyone, including his parents, unimpressed. He also has a thing for cavewoman Fardart, but she only has eyes for his brother Thudnik. Can Ishbo prove his worth when a rival clan attacks?",7.525,7/10/2007,Homo Erectus,4,25,['prehistoric'],[-10000],-50000
"[12, 28, 18, 14]",7840,A prehistoric epic that follows a young mammoth hunter's journey through uncharted territory to secure the future of his tribe.,20.597,2/22/2008,"10,000 BC",5.4,2353,"['prehistoric', 'mammoth']","[-10000, -10000]",-10000
"[28, 12, 14, 18]",78049,"Since his triumphant rise to power in the original blockbuster ""The Scorpion King"", Mathayus' kingdom has fallen and he's lost his queen to plague. Now an assassin for hire, he must defend a kingdom from an evil tyrant and his ghost warriors for the chance to regain the power and glory he once knew. Starring Ron Perlman (""Hellboy"") and Billy Zane (""Titanic""), and featuring 6-time WWE champion Dave Bautista and UFC star Kimbo Slice, ""The Scorpion King 3: Battle for Redemption"" takes ""The Mummy"" phenomenon to an all-new level of epic action and non-stop adventure.",36.329,1/17/2012,The Scorpion King 3: Battle for Redemption,4.5,248,['Scorpion King'],[-3100],-3100
"[36, 18]",24973,"In eighteenth-dynasty Egypt, Sinuhe, a poor orphan, becomes a brilliant physician and with his friend Horemheb is appointed to the service of the new Pharoah. Sinuhe's personal triumphs and tragedies are played against the larger canvas of the turbulent events of the 18th dynasty. As Sinuhe is drawn into court intrigues he learns the answers to the questions he has sought since his birth.",7.766,8/25/1954,The Egyptian,6.2,55,"['Egypt', 'Pharoah']","[-3150, -3150]",-1400
"[18, 36]",77971,Chronicles the rise and fall of the woman who eventually became known as Queen Nefertiti.,3.526,9/20/1961,"Nefertiti, Queen of the Nile",4.8,12,['Nefertiti'],[-1370],-1340
[18],119913,"The bitter Trojan War drags on - the Greeks blame Achilles' apathy for low morale, while Troy's hero Hector challenges one of the enemy to a personal duel. And after her father exchanges Cressida for a Trojan prisoner, the war becomes personal for her distraught lover Troilus.",0.698,11/7/1981,Troilus & Cressida,8,1,['Achilles'],[-1300],-1305
"[18, 36]",6844,"Escaping death, a Hebrew infant is raised in a royal household to become a prince. Upon discovery of his true heritage, Moses embarks on a personal quest to reclaim his destiny as the leader and liberator of the Hebrew people.",37.624,10/5/1956,The Ten Commandments,7.7,1057,['Moses'],[-1250],-1300
"[10752, 12, 36, 18, 10749]",81409,"In the tenth year of the Trojan War, tensions between Achilles and Agamemnon divide the Greek camp while giving hope to the Trojans.",1.525,9/23/1962,Fury of Achilles,6.7,3,['Achilles'],[-1300],-1300
[],533220,Adaptation of Euripides: lamentations of the women of Troy after their defeat in war.,0.6,7/1/1963,Las Troyanas,6,4,['Troy '],[-3000],-1300
"[18, 28, 12]",211139,"Fleeing Troy in the wake of its destruction, fair-faced Helen and her faithful protector Arion run into the pharaoh Ramses, who sets his sights on Helen -- and is subsequently murdered. Now it's up to Arion to save Helen from those who wish her dead.",0.995,6/27/1964,The Lion of Thebes,8.8,4,"['Troy ', 'Ramses']","[-3000, -1250]",-1300
