studio_name,title list,studio_id,origin_country,movie_id,title
Belstar Productions,Quest for Fire,999.0,,62204,Quest for Fire
Stéphan Films,Quest for Fire,2359.0,FR,62204,Quest for Fire
International Cinema Corporation (ICC),Quest for Fire,25765.0,CA,62204,Quest for Fire
Ciné Trail,Quest for Fire,111483.0,,62204,Quest for Fire
Gruskoff Film Organization,Quest for Fire,111484.0,,62204,Quest for Fire
Royal Bank of Canada,Quest for Fire,111485.0,,62204,Quest for Fire
Famous Players Limited,Quest for Fire,16914.0,,62204,Quest for Fire
20th Century Fox,"Quest for Fire, The Egyptian, David and Bathsheba, Esther and the King, Cleopatra",25.0,US,62204,Quest for Fire
Burnt Orange Productions,Homo Erectus,3637.0,,14641,Homo Erectus
Centropolis Entertainment,"10,000 BC",347.0,,7840,"10,000 BC"
Legendary Pictures,"10,000 BC, 300, 300: Rise of an Empire",923.0,US,7840,"10,000 BC"
The Department of Trade and Industry of South Africa,"10,000 BC",10884.0,,7840,"10,000 BC"
Moonlighting Films,"10,000 BC",9137.0,ZA,7840,"10,000 BC"
Warner Bros. Pictures,"10,000 BC, Troy, 300, 300: Rise of an Empire",174.0,US,7840,"10,000 BC"
Universal 1440 Entertainment,The Scorpion King 3: Battle for Redemption,17009.0,US,78049,The Scorpion King 3: Battle for Redemption
Alphaville Films,The Scorpion King 3: Battle for Redemption,11462.0,,78049,The Scorpion King 3: Battle for Redemption
"Sommers Company, The",The Scorpion King 3: Battle for Redemption,19643.0,,78049,The Scorpion King 3: Battle for Redemption
Misher Films,The Scorpion King 3: Battle for Redemption,11581.0,US,78049,The Scorpion King 3: Battle for Redemption
A Grand Elephant,The Scorpion King 3: Battle for Redemption,19865.0,,78049,The Scorpion King 3: Battle for Redemption
20th Century Fox,"Quest for Fire, The Egyptian, David and Bathsheba, Esther and the King, Cleopatra",25.0,US,24973,The Egyptian
Max Film,"Nefertiti, Queen of the Nile",36913.0,,77971,"Nefertiti, Queen of the Nile"
Josef Shaftel Productions,The Trojan Women,15921.0,US,47446,The Trojan Women
La Société des Films Sirius,The Lion of Thebes,35746.0,FR,211139,The Lion of Thebes
Uneurop Film,Fury of Achilles,95315.0,,81409,Fury of Achilles
Paramount,"The Ten Commandments, Samson and Delilah, Duel of the Titans",4.0,US,6844,The Ten Commandments
Motion Picture Associates,The Ten Commandments,12275.0,,6844,The Ten Commandments
Warner Bros. Pictures,"10,000 BC, Troy, 300, 300: Rise of an Empire",174.0,US,652,Troy
Plan B Entertainment,Troy,81.0,US,652,Troy
Nimar Studios,"Troy, 300, 300: Rise of an Empire",7636.0,BG,652,Troy
Radiant Productions,Troy,18990.0,,652,Troy
Helena Productions,Troy,19107.0,GB,652,Troy
Latina Pictures,Troy,19108.0,MT,652,Troy
Downtown Filmes,The Ten Commandments: The Movie,5591.0,BR,372519,The Ten Commandments: The Movie
Record TV,The Ten Commandments: The Movie,68962.0,BR,372519,The Ten Commandments: The Movie
Record Filmes,The Ten Commandments: The Movie,160866.0,,372519,The Ten Commandments: The Movie
Paris Filmes,The Ten Commandments: The Movie,53105.0,BR,372519,The Ten Commandments: The Movie
Benetone Films,Troy the Odyssey,6854.0,TH,493416,Troy the Odyssey
The Asylum,Troy the Odyssey,1311.0,US,493416,Troy the Odyssey
"Zespól Filmowy ""Kadr""",Pharaoh,1829.0,PL,5040,Pharaoh
Paramount,"The Ten Commandments, Samson and Delilah, Duel of the Titans",4.0,US,29993,Samson and Delilah
Compagnie Industrielle et Commerciale Cinématographique (CICC),Son of Samson,11788.0,FR,206004,Son of Samson
Panda Societa per L'Industria Cinematografica,Son of Samson,4827.0,IT,206004,Son of Samson
Gallus Films,Son of Samson,12692.0,FR,206004,Son of Samson
Dubrava Film,"Son of Samson, Romulus and the Sabines",8950.0,HR,206004,Son of Samson
20th Century Fox,"Quest for Fire, The Egyptian, David and Bathsheba, Esther and the King, Cleopatra",25.0,US,42567,David and Bathsheba
Edward Small Productions,Solomon and Sheba,13479.0,,29996,Solomon and Sheba
United Artists,"Solomon and Sheba, Alexander the Great",60.0,US,29996,Solomon and Sheba
Farabi Cinema,The Kingdom of Solomon,66953.0,IR,153779,The Kingdom of Solomon
Globe Films International,I Am Semiramis,6389.0,,60915,I Am Semiramis
Apo Film,I Am Semiramis,118964.0,,60915,I Am Semiramis
Constelación,The Shame of the Sabine Women,83786.0,,366585,The Shame of the Sabine Women
Groenlandia,The First King,86177.0,IT,565179,The First King
GapBusters,The First King,112442.0,BE,565179,The First King
01 Distribution,The First King,18973.0,IT,565179,The First King
VOO,The First King,11797.0,BE,565179,The First King
BeTV,The First King,24430.0,BE,565179,The First King
Roman Citizen Entertainment,The First King,127815.0,IT,565179,The First King
Casa Kafka Pictures,The First King,11924.0,BE,565179,The First King
Belfius,The First King,115736.0,BE,565179,The First King
Regione Lazio,The First King,20416.0,IT,565179,The First King
Belgische Taxshelter voor Filmfinanciering,The First King,127816.0,BE,565179,The First King
European Union,The First King,114951.0,,565179,The First King
Ministero per i Beni e le Attività Culturali,The First King,14016.0,IT,565179,The First King
RAI,The First King,1583.0,IT,565179,The First King
Paramount,"The Ten Commandments, Samson and Delilah, Duel of the Titans",4.0,US,96786,Duel of the Titans
Titanus,"Duel of the Titans, The Giant of Marathon, Esther and the King, The Slave",641.0,IT,96786,Duel of the Titans
Capital Films,Romulus and Remus: The Story of Two Sons of a Wolf,9290.0,,412225,Romulus and Remus: The Story of Two Sons of a Wolf
Compagnie Internationale de Productions Cinématographiques (CIPRA),Romulus and the Sabines,18925.0,,138519,Romulus and the Sabines
Finanziaria Cinematografica Italiana (FICIT),Romulus and the Sabines,73426.0,,138519,Romulus and the Sabines
Dubrava Film,"Son of Samson, Romulus and the Sabines",8950.0,HR,138519,Romulus and the Sabines
Rialto Films,The Queen of Babylon,8658.0,,223168,The Queen of Babylon
Panthéon Productions,The Queen of Babylon,44715.0,,223168,The Queen of Babylon
Columbia Pictures,"Slaves of Babylon, Serpent of the Nile",5.0,US,350806,Slaves of Babylon
Leone Film,Goliath and the Sins of Babylon,3920.0,,150912,Goliath and the Sins of Babylon
American International Pictures,Goliath and the Sins of Babylon,9266.0,US,150912,Goliath and the Sins of Babylon
Films Internazionali Artistici (FIA) / Gladiator Film,Hero of Babylon,74560.0,,330390,Hero of Babylon
Compagnia Internazionale Realizzazioni Artistiche Cinematografiche (CIRAC),Hero of Babylon,74561.0,,330390,Hero of Babylon
Cinecittà,Amazons of Rome,1042.0,IT,164302,Amazons of Rome
C.F.S. Košutnjak,Amazons of Rome,29683.0,RS,164302,Amazons of Rome
Cine-Italia Film,Amazons of Rome,54532.0,,164302,Amazons of Rome
Titanus,"Duel of the Titans, The Giant of Marathon, Esther and the King, The Slave",641.0,IT,18696,The Giant of Marathon
Galatea Film,"The Giant of Marathon, Esther and the King",12240.0,IT,18696,The Giant of Marathon
Lux Compagnie Cinématographique de France,"The Giant of Marathon, Carthage in Flames",12243.0,FR,18696,The Giant of Marathon
Societé Cinématographique Lyre,The Giant of Marathon,8948.0,FR,18696,The Giant of Marathon
Metro-Goldwyn-Mayer,"The Giant of Marathon, The Colossus of Rhodes, Jupiter's Darling, The Slave",21.0,US,18696,The Giant of Marathon
Virtual Studios,300,449.0,US,1271,300
Legendary Pictures,"10,000 BC, 300, 300: Rise of an Empire",923.0,US,1271,300
Hollywood Gang Productions,"300, 300: Rise of an Empire",2994.0,US,1271,300
Atmosphere Entertainment MM,"300, 300: Rise of an Empire",2995.0,US,1271,300
Nimar Studios,"Troy, 300, 300: Rise of an Empire",7636.0,BG,1271,300
Warner Bros. Pictures,"10,000 BC, Troy, 300, 300: Rise of an Empire",174.0,US,1271,300
Cruel & Unusual Films,"300, 300: Rise of an Empire",9995.0,US,1271,300
New Regency Pictures,Meet the Spartans,10104.0,US,7278,Meet the Spartans
Regency Enterprises,Meet the Spartans,508.0,US,7278,Meet the Spartans
3 in the Box,Meet the Spartans,19248.0,,7278,Meet the Spartans
Legendary Pictures,"10,000 BC, 300, 300: Rise of an Empire",923.0,US,53182,300: Rise of an Empire
Hollywood Gang Productions,"300, 300: Rise of an Empire",2994.0,US,53182,300: Rise of an Empire
Atmosphere Entertainment MM,"300, 300: Rise of an Empire",2995.0,US,53182,300: Rise of an Empire
Nimar Studios,"Troy, 300, 300: Rise of an Empire",7636.0,BG,53182,300: Rise of an Empire
Warner Bros. Pictures,"10,000 BC, Troy, 300, 300: Rise of an Empire",174.0,US,53182,300: Rise of an Empire
Cruel & Unusual Films,"300, 300: Rise of an Empire",9995.0,US,53182,300: Rise of an Empire
Pure Flix Entertainment,The Book of Esther,6427.0,US,199153,The Book of Esther
