name,actor_id,count
'Little Billy' Rhodes,128938.0,1
'Tinker' Furlong,2511739.0,1
A. Bromley Davenport,123903.0,1
A. Corney Grain,2031735.0,1
A. Karunanidhi,945133.0,1
AJ Taylor,3030839.0,1
Aamir Bashir,123228.0,1
Aamir Khan,52763.0,1
Aaron Neil,204802.0,1
Aaron Paul,84497.0,1
Aaron Saxon,1467009.0,1
Aaron Sillis,1278624.0,1
Aaron Taylor-Johnson,27428.0,2
Aaron Tveit,143425.0,1
Aayam Mehta,1343974.0,1
Abbas El Boughdadly,1763188.0,1
Abbe Lane,162246.0,1
Abbey Lee,1036288.0,1
Abbie Cornish,37260.0,2
Abdalla Mahmoud,1317678.0,1
Abdelkader Lofti,2920854.0,1
Abdelmajid Lahssini,2922151.0,1
Abderrahim Bargache,929542.0,1
Abdul Ayoola,229561.0,1
Abdul Salaam El Razzac,193048.0,1
Abdul Wahab,1809366.0,1
Abdul-Fatai Balogun,2298852.0,1
Abe Temba,1847245.0,1
Abel Gance,29720.0,1
Abel Jafri,570809.0,1
Abel Woolrich,104391.0,1
Abhin Galeya,206177.0,1
Abigail Johns,1902355.0,1
Aboubacar Touré,1806884.0,1
Abraam Fontana,1699048.0,1
Abraham Belaga,132069.0,1
Abraham Popoola,1432064.0,1
Abraham Sofaer,135066.0,1
Abu Bakaar Fofanah,2119737.0,1
Abu Sidique,2298787.0,1
Achille Brugnini,651165.0,1
Achille Majeroni,234414.0,1
Acho Chakatouny,1342492.0,1
Ada Passeri,1847597.0,1
Adam Arlukiewicz,2289237.0,1
Adam Baldwin,2059.0,2
Adam Barker,1258206.0,1
Adam Beach,33527.0,2
Adam Cheng,82401.0,1
Adam Driver,1023139.0,3
Adam Ferency,1409.0,1
Adam Godley,23429.0,1
Adam Goodwin,1346437.0,2
Adam Hoskins,1760475.0,1
Adam Ild Rohweder,1388459.0,1
Adam Jones,1278485.0,1
Adam Kurakin,1402849.0,1
Adam Lazarus,1654744.0,1
Adam Levy,1376050.0,1
Adam Long,119917.0,1
Adam Nagaitis,1435230.0,1
Adam Pearce,1278501.0,2
Adam Rifkin,50583.0,1
Adam Roper,1535066.0,1
Adam Searles,117323.0,1
Adam Shaw,1229334.0,1
Adam Thomas Wright,1466262.0,1
Addie McPhail,1187016.0,1
Addison Myers,2919667.0,1
Addison Richards,97007.0,2
Adekunle Ilori,2298764.0,1
Adel Bakri,2019212.0,1
Adel Ben Ayed,2019214.0,1
Adel Hammoud,2083547.0,1
Adela Armengol,2334184.0,1
Adelborg Linklett,1348964.0,1
Adelmo Togliani,1149278.0,1
Aden G. Wright,2757099.0,1
Aden Gillett,1222737.0,1
Aden Young,144081.0,1
Adepero Oduye,467633.0,1
Adewale Akinnuoye-Agbaje,31164.0,1
Adil El Hacium,2920864.0,1
Adithya Menon,148363.0,1
Aditi Chengappa,1321730.0,1
Aditi Rao Hydari,88797.0,1
Aditya Pancholi,941482.0,1
Adjoa Andoh,109651.0,1
Adolfo Celi,9920.0,2
Adolfo Pezzini,2231266.0,1
Adoni Maropis,20808.0,2
Adrian Glynn McMorran,1679290.0,1
Adrian Moore,140240.0,1
Adrian Morris,102071.0,1
Adrian Pasdar,17304.0,1
Adrian Rawlins,1643.0,2
Adrian Scarborough,40311.0,4
Adrian Schiller,383624.0,1
Adrian Street,44863.0,1
Adrian Ștefan,135149.0,1
Adriana Asti,44110.0,2
Adriana Benetti,230555.0,1
Adriana Facchetti,592632.0,1
Adriano Ambrogi,132786.0,1
Adriano Iurissevich,3319958.0,1
Adriano Rimoldi,1349173.0,1
Adrien Brody,3490.0,1
Adrien Caillard,1174169.0,1
Adrien Duquesne,1377611.0,1
Adrien Vaatete Mahitete,2946208.0,1
Adrienne Corri,2265.0,2
Ady An,1241442.0,1
Afemo Omilami,37825.0,2
Affif Ben Badra,54807.0,1
Africa de la Rosa,1387530.0,1
Aggela Kazakidou,1663298.0,1
Aglaia Szyszkowitz,32818.0,1
Agnes Bernelle,1236748.0,1
Agnes Moorehead,11025.0,3
Agnes Steele,1471666.0,1
Agneta Prytz,286954.0,1
Agnieshka Wnorowska,1330784.0,1
Agnieszka Wagner,131237.0,1
Ahmad Hegazi,1198688.0,1
Ahmed Bangura,2298876.0,1
Ahmed Boulane,27664.0,1
Ahmed Fouad Selim,936413.0,1
Ahmed Mokhtar,1753600.0,1
Ahmed Ramzy,1233926.0,1
Ahmed Saguia,2702535.0,1
Ahmed Samy Abdallah,2581781.0,1
Ahn Jae-hong,1164507.0,1
Ahn Sung-ki,17121.0,1
Ai Kanzaki,237154.0,1
Aidan Devine,237.0,1
Aidan Kelly,150577.0,1
Aidan McArdle,47653.0,1
Aidan Quinn,18992.0,3
Aimee King,2633688.0,1
Aimée Eccles,556051.0,1
Aina Alfredsson,2109620.0,1
Aishwarya Rai Bachchan,87773.0,2
Aissa Wayne,1397873.0,1
Aivars Smits,3340627.0,1
Aizo Tamashima,1604135.0,1
Aj Muhlach,1358194.0,1
Ajay,586625.0,1
Ajay Devgn,42803.0,1
Ajay Rathnam,583977.0,1
Ajinkya Deo,1030169.0,1
Ajit Khan,1028469.0,1
Akaji Maro,2544.0,1
Akemi Omori,1554195.0,1
Akihiko Hirata,30568.0,1
Akihiro Tomikawa,77892.0,1
Akiji Kobayashi,119185.0,2
Akiko Enji,2248076.0,1
Akiko Kana,539107.0,1
Akim Tamiroff,30719.0,3
Akinori Ando,1127061.0,1
Akio Kusama,1185637.0,2
Akira Akabane,2563327.0,1
Akira Emoto,13283.0,1
Akira Ishihama,76977.0,1
Akira Kitchôji,1481134.0,1
Akira Konami,1970102.0,1
Akira Sera,955005.0,1
Akira Shiga,555566.0,2
Akira Shimizu,150319.0,2
Akira Tani,552167.0,3
Akira Yamada,1200144.0,1
Akitake Kôno,134258.0,2
Akiyoshi Kikuno,2193490.0,1
Akiyoshi Nakao,1024891.0,1
Akiyoshi Tsujimoto,2248063.0,1
Aksel Hennie,76547.0,1
Aksel Rasmussen,1439581.0,1
Akshay Sharma,2031874.0,1
Al Bridge,120785.0,1
Al Eben,160707.0,1
Al Ferguson,1090894.0,2
Al Haskell,1019293.0,1
Al Hunter Ashton,124314.0,1
Al Leong,61704.0,1
Al Mulock,129314.0,1
Al Pacino,1158.0,2
Al Thomas,131510.0,1
Al Weaver,1015830.0,3
Al Wyatt Sr.,196258.0,1
Aladár Laklóth,1413152.0,1
Alain Blazquez,999810.0,1
Alain Chanoine,90725.0,1
Alain Doutey,35608.0,1
Alain Frérot,17898.0,1
Alain Hocine,1563153.0,1
Alain Macé,24382.0,1
Alain Moussi,1427888.0,1
Alain Naya,1140969.0,1
Alain Quercy,28456.0,1
Alain Recoing,1377708.0,1
Alain Sachs,572635.0,1
Alan Aubert-Carlin,1983649.0,1
Alan Bates,27554.0,2
Alan Bennett,55477.0,1
Alan Callow,2946214.0,1
Alan Charlesworth,1987918.0,1
Alan Cody,43441.0,1
Alan Cumming,10697.0,1
Alan Cuthbert,1654695.0,1
Alan Dobie,196275.0,2
Alan Doyle,147472.0,1
Alan Hale,8729.0,4
Alan Howard,1848285.0,1
Alan Jones Silva,2892031.0,1
Alan Ladd,30510.0,3
Alan Lee,113555.0,1
Alan Lewis,1463137.0,1
Alan Marshal,78854.0,1
Alan McKenna,86441.0,1
Alan McMahon,2586837.0,1
Alan Meadows,1205992.0,1
Alan Mowbray,8240.0,2
Alan Napier,6933.0,4
Alan North,53584.0,1
Alan O'Silva,134848.0,1
Alan Paris,1206002.0,1
Alan Rickman,4566.0,3
Alan Roscoe,123585.0,1
Alan Rowe,1230273.0,1
Alan Shearman,52327.0,1
Alan Stanford,15888.0,1
Alan Tall,2474.0,1
Alan Tilvern,12828.0,4
