name,title list,director_id,gender,director_popularity,movie_id,title
A. P. Nagarajan,Rajaraja Cholan,1272574.0,0.0,7.384,261672,Rajaraja Cholan
Aaron Seltzer,Meet the Spartans,35734.0,2.0,2.435,7278,Meet the Spartans
Abel Gance,"Tower of Lust, Napoleon",29720.0,2.0,0.98,42536,Napoleon
Abel Gance,"Tower of Lust, Napoleon",29720.0,2.0,1.4,79892,Tower of Lust
Abhijit Guha,Hercules,1294706.0,0.0,0.6,480448,Hercules
Adam Rifkin,Homo Erectus,50583.0,2.0,5.484,14641,Homo Erectus
Adrian Shergold,Persuasion,84737.0,2.0,2.03,13949,Persuasion
Agnieszka Holland,Copying Beethoven,1128.0,1.0,1.336,1590,Copying Beethoven
Agustín Díaz Yanes,Alatriste,127823.0,0.0,0.833,13495,Alatriste
Akira Kurosawa,"The Men Who Tread on the Tiger's Tail, Seven Samurai, Yojimbo",5026.0,2.0,14.009,11878,Yojimbo
Akira Kurosawa,"The Men Who Tread on the Tiger's Tail, Seven Samurai, Yojimbo",5026.0,2.0,14.009,346,Seven Samurai
Akira Kurosawa,"The Men Who Tread on the Tiger's Tail, Seven Samurai, Yojimbo",5026.0,2.0,14.009,36916,The Men Who Tread on the Tiger's Tail
Alan Mak,The Lost Bladesman,66718.0,0.0,5.267,62977,The Lost Bladesman
Albert Hughes,Alpha,11447.0,2.0,7.019,399360,Alpha
Alberto Gout,The Shame of the Sabine Women,941090.0,2.0,0.84,366585,The Shame of the Sabine Women
Alejandro Amenábar,Agora,19840.0,2.0,5.996,26428,Agora
Alejandro González Iñárritu,The Revenant,223.0,2.0,11.065,281957,The Revenant
Alessandro Blasetti,Fabiola,228338.0,2.0,0.735,167603,Fabiola
Alex Proyas,Gods of Egypt,21085.0,2.0,4.717,205584,Gods of Egypt
Alexander Korda,"The Private Life of Henry VIII, The Rise of Catherine the Great",2490.0,2.0,2.617,43687,The Rise of Catherine the Great
Alexander Korda,"The Private Life of Henry VIII, The Rise of Catherine the Great",2490.0,2.0,3.664,43122,The Private Life of Henry VIII
Alexander Stitt,Grendel Grendel Grendel,1200041.0,0.0,0.6,136994,Grendel Grendel Grendel
Alexandre Avancini,The Ten Commandments: The Movie,1548846.0,2.0,2.148,372519,The Ten Commandments: The Movie
Alfonso Brescia,"Revolt of the Praetorians, The Magnificent Gladiator",41147.0,2.0,1.435,211179,The Magnificent Gladiator
Alfonso Brescia,"Revolt of the Praetorians, The Magnificent Gladiator",41147.0,2.0,1.025,283881,Revolt of the Praetorians
Alfonso Gomez-Rejon,The Current War,1224031.0,2.0,2.151,418879,The Current War
Amma Asante,Belle,1193597.0,1.0,0.708,205601,Belle
Andrea Bianchi,Treasure Island,68662.0,0.0,0.692,22376,Treasure Island
Andrea Bocchetti,Emma,3250840.0,0.0,0.6,878938,Emma
Andrei Konchalovsky,The Lion in Winter,58728.0,2.0,2.666,37945,The Lion in Winter
Andrei Tarkovsky,Andrei Rublev,8452.0,2.0,8.604,895,Andrei Rublev
Andrew Dominik,The Assassination of Jesse James by the Coward Robert Ford,37618.0,2.0,6.684,4512,The Assassination of Jesse James by the Coward Robert Ford
Andrey Kravchuk,Viking,81761.0,2.0,2.222,369698,Viking
Andrzej Wajda,"Gates to Paradise, Danton",2801.0,2.0,7.062,185050,Gates to Paradise
Andrzej Wajda,"Gates to Paradise, Danton",2801.0,2.0,7.062,4202,Danton
Ang Lee,"Sense and Sensibility, Ride with the Devil",1614.0,2.0,4.441,4584,Sense and Sensibility
Ang Lee,"Sense and Sensibility, Ride with the Devil",1614.0,2.0,4.532,22267,Ride with the Devil
Anil Sharma,Veer,107250.0,2.0,0.6,30886,Veer
Anna Zielinski,The Book of Daniel,204725.0,1.0,5.574,227859,The Book of Daniel
Anthony Harvey,The Lion in Winter,12009.0,2.0,1.052,18988,The Lion in Winter
Anthony Mann,"The Fall of the Roman Empire, El Cid",40199.0,2.0,1.905,17277,The Fall of the Roman Empire
Anthony Mann,"The Fall of the Roman Empire, El Cid",40199.0,2.0,2.572,16638,El Cid
Anthony Minghella,Cold Mountain,2239.0,2.0,3.105,2289,Cold Mountain
Antoine Fuqua,King Arthur,20907.0,2.0,7.895,9477,King Arthur
Antonietta De Lillo,The Remains of Nothing,225245.0,1.0,0.6,56943,The Remains of Nothing
Antonio Lucifero,Nero,2123970.0,0.0,0.6,547155,Nero
Antonio Margheriti,"Giants of Rome, The Fall of Rome",5561.0,2.0,6.086,113335,Giants of Rome
Antonio Margheriti,"Giants of Rome, The Fall of Rome",5561.0,2.0,6.086,27707,The Fall of Rome
Archie Mayo,The Adventures of Marco Polo,81165.0,2.0,1.388,119645,The Adventures of Marco Polo
Arthur Lubin,Lady Godiva of Coventry,78845.0,2.0,2.189,113939,Lady Godiva of Coventry
Arthur Penn,The Miracle Worker,6448.0,2.0,1.4,1162,The Miracle Worker
Ashutosh Gowariker,"Mohenjo Daro, Jodhaa Akbar",78751.0,2.0,1.38,14073,Jodhaa Akbar
Ashutosh Gowariker,"Mohenjo Daro, Jodhaa Akbar",78751.0,2.0,1.932,402672,Mohenjo Daro
B. Ramakrishnaiah Panthulu,Veerapandiya Kattabomman,1052919.0,0.0,0.6,261765,Veerapandiya Kattabomman
Basil Dearden,Khartoum,29504.0,2.0,1.36,29710,Khartoum
Ben Wheatley,A Field in England,137467.0,2.0,2.446,179111,A Field in England
Benoît Jacquot,"Farewell, My Queen",229263.0,2.0,1.429,99579,"Farewell, My Queen"
Bernard Rose,Immortal Beloved,57851.0,2.0,7.676,13701,Immortal Beloved
Bertrand Tavernier,The Princess of Montpensier,20556.0,2.0,1.632,57695,The Princess of Montpensier
Bill Anderson,Boudica,148705.0,2.0,0.6,62326,Boudica
Bille August,Les Misérables,19684.0,2.0,2.177,4415,Les Misérables
Bille August,Les Misérables,19684.0,2.0,2.134,4415,Les Misérables
Bob McNaught,A Story of David,936912.0,2.0,1.242,193114,A Story of David
Bob Rafelson,Mountains of the Moon,19450.0,2.0,5.202,33796,Mountains of the Moon
Brenda Chapman,The Prince of Egypt,59803.0,1.0,1.667,9837,The Prince of Egypt
Brett Ratner,Hercules,11091.0,2.0,3.222,184315,Hercules
Brian Helgeland,A Knight's Tale,4723.0,2.0,4.009,9476,A Knight's Tale
Bruce Beresford,"King David, Black Robe",5696.0,2.0,2.25,42040,King David
Bruce Beresford,"King David, Black Robe",5696.0,2.0,2.25,41784,Black Robe
Bruce Macdonald,Samson,2025698.0,0.0,0.6,474392,Samson
Bruce Neibaur,Journey to Mecca,89650.0,2.0,0.6,70664,Journey to Mecca
Bruno Vailati,The Giant of Marathon,99526.0,0.0,0.972,18696,The Giant of Marathon
