Title,Release date,Time Period,Start Time,End Time,Location,genre_ids,movie_id,original_language,overview,popularity,title,video,vote_average,vote_count,genres,name,keywords,Full Location,latitude,longitude,ARS
Quest for Fire,1981,"80,000 BC",-80000,-80000,Europe,"[12, 18]",62204,fr,"A colossal adventure odyssey that turns back the hands of time to the very beginning of man's existence. 80,000 years ago, when man roamed the earth, he was exposed to the many harsh elements of nature. Against the perilous atmosphere of rugged terrain, rival tribes and savage beasts, Quest for Fire examines a peaceful tribe's search for that all important element fire, and the knowledge to create it. Focusing on human dream as well as realistic insights into pre-historic man, the constant struggle for survival is vividly recreated in this sensational production.",11.403,Quest for Fire,FALSE,7.1,364,"['Adventure', 'Drama']","Everett McGill, Ron Perlman, Nicholas Kadi, Rae Dawn Chong, Gary Schwartz, Naseer El-Kadi, Franck-Olivier Bonnet, Jean-Michel Kindt, Kurt Schiegl, Brian Gillin, Terry Fitt, Bibi Caspari, Peter Elliott, Michelle Leduc, Robert Lavoie, Christian Benard, Tarlok Sing Seva, Lolamal Kapisisi, Matt Birman, Joy Boushel","fire, based on novel or book, mammoth, stone age, bear, ape man, saber-toothed tiger, cavemen, prehistoric adventure, prehistoric times, neanderthal, wolves",Ōu,51,10,6
The Tribe,1974,50000 BC,-50000,-50000,Europe,"[18, 12, 10770]",338039,en,"A family tribe of Cro-Magnons faces hardships, such as hunger, animal attacks, Neanderthal attacks, and death from injuries as they migrate to find a more bountiful land to live on.",0.71,The Tribe,FALSE,5,2,"['Drama', 'Adventure', 'TV Movie']","Victor French, Warren Vanders, Henry Wilcoxon, Adriana Shaw, Stewart Moss, Sam Gilman, Tani Guthrie, Mark Gruner, Meg Wyllie, Nancy Elliot, Jeannine Brown, Dominique Pinassi, Jack Scalici, Paul Richards","migration, tribe, survival, neanderthal, prehistoric man, prehistory, movie of the week, cro-magnon",Ōu,51,10,8
Homo Erectus,2007,50000 BC,-50000,-50000,Europe,[35],14641,en,"Ishbo is a caveman living in the prehistoric age who thinks there's more to life than hunting and gathering. He tries to better the lives of those in his tribe by inventing things like spoons and the toothbrush, which leave everyone, including his parents, unimpressed. He also has a thing for cavewoman Fardart, but she only has eyes for his brother Thudnik. Can Ishbo prove his worth when a rival clan attacks?",6.22,Homo Erectus,FALSE,3.9,26,['Comedy'],"Adam Rifkin, Ali Larter, David Carradine, Sasha Grey, Rebeca Linares, Carol Alt, Talia Shire, Hayes MacArthur, Gary Busey, Ron Jeremy, Nick Krause, Derek Southers, Ayla Judson","national lampoon serie, prehistoric times",Ōu,51,10,0
The Clan of the Cave Bear,1986,"40,000 - 35,000 BC",-40000,-40000,Europe,"[12, 18]",13853,en,"Natural changes have the clans moving. Iza, medicine woman of the ""Clan of the Cave Bear"" finds little Ayla from the ""others""' clan - tradition would have the clan kill Ayla immediately, but Iza insists on keeping her. When the little one finds a most needed new cave, she's allowed to stay - and thrive.",8.944,The Clan of the Cave Bear,FALSE,5.1,88,"['Adventure', 'Drama']","Daryl Hannah, Pamela Reed, James Remar, Thomas G. Waites, John Doolittle, Curtis Armstrong, Martin Doyle, Nicole Eggert, Salome Jens, Joey Cramer, Lycia Naff, Paul Carafotes, Alan Waltman, Rick Valiquette, Natino Bellantoni, Colin Doyle, Amy Cyr, Shauna Fanara, Guila Chiesa, Catherine Flather, Christiane Boyce, Shane Punt, Samantha Ostry, Mary Reid, Pierre Lamielle, Emma Floria, Rory L. Crowley, Penny A. Mesa, Bernadette Sabath, Linda Quibell, Janne Mortil, Gloria Lee, Barbara Duncan, Karen Elizabeth Austin, Keith Wardlow, John Wardlow, Mike Muscat, Tony Montanaro, Adel Hammoud, Bart The Bear","stone age, animal attack, tribe, bear, cavemen, prehistoric adventure, prehistoric times, neanderthal, prehistoric man",Ōu,51,10,2
Alpha,2018,"20,000 BC",-20000,-20000,Europe,"[12, 18]",399360,en,"In the prehistoric past, Keda, a young and inexperienced hunter, struggles to return home after being separated from his tribe when bison hunting goes awry. On his way back he will find an unexpected ally.",42.111,Alpha,FALSE,6.4,2112,"['Adventure', 'Drama']","Kodi Smit-McPhee, Jóhannes Haukur Jóhannesson, Marcin Kowalczyk, Jens Hultén, Natassia Malthe, Spencer Bogaert, Mercedes de la Zerda, Leonor Varela, Priya Rajaratnam, Nashon Douglas, Michael Kruse-Dahl, Kyle Glenn Thomas, Nestor de la Zerda, Louis Lay, Patrick Flanagan, Blake Point, Taran Kootenhayoo","wolf, ice age, human animal relationship, wilderness, survival, snow, saber-toothed tiger, boy and dog, injury, prehistoric adventure, prehistory, bison, upper palaeolithic, boar",Ōu,51,10,0
"10,000 BC",2008,"10,000 BC",-10000,-10000,Europe,"[12, 28, 18, 14]",7840,en,A prehistoric epic that follows a young mammoth hunter's journey through uncharted territory to secure the future of his tribe.,45.948,"10,000 BC",FALSE,5.4,2406,"['Adventure', 'Action', 'Drama', 'Fantasy']","Steven Strait, Camilla Belle, Cliff Curtis, Nathanael Baring, Mo Zinal, Affif Ben Badra, Mona Hammond, Marco Khan, Reece Ritchie, Joel Fry, Joel Virgel, Omar Sharif, Kristian Beazley, Junior Oliphant, Louise Tu'u, Jacob Renton, Grayson Hunt Urwin, Farouk Valley-Omar, Boubacar Babiane, Joe Vaz, Charles Baloyi, Tim Barlow, Gabriel Malema, Mark Simmons, Hannah Westbury, Antonio Fisher, Steven Afrikaner, David Dennis, Tony Caprari, Matthew Navin, Nimiah Rodgers, Kolby Pistak, Ben Hart, Ben Coyle-Larner, Joshua Peters, Heberth Somaeb, Sadrag Nakale, Mykhail Cohen, Janine Manuel, Kabelo Murray, Andrew Stehlin, Suri van Sornsen","hunter, indigenous, lover (female), pyramid, mammoth, sapient, mountain village, stone age, fighter, primitive time, saber-toothed tiger, prehistoric adventure",Ōu,51,10,17
The Scorpion King 2: Rise of a Warrior,2008,2334-2284 BC/ 1792 - c. 1750 BC,-3210,-3210,Egypt,"[28, 12, 14, 878]",13486,en,"The heroic tale of young Mathayus and his relentless quest for justice against an evil and powerful villain, King Sargon. Mathayus faces heart-stopping tribulations during his adventurous, odds-defying trajectory toward his ultimate destiny: becoming the formidable warrior king of an ancient desert empire.",24.658,The Scorpion King 2: Rise of a Warrior,FALSE,4.6,460,"['Action', 'Adventure', 'Fantasy', 'Science Fiction']","Michael Copon, Randy Couture, Karen David, Simon Quarterman, Tom Wu, Andreas Wisniewski, Natalie Becker, Jeremy Crutchley, Shane Manie, Chase Agulhas, Pierre Marais, Warrick Grier, Az Abrahams, Vaneshran Arumugam, Mike Thompson, Wayne Shields, Diane Wilson, Nathan Fredericks, Sean Higgs, Robin Smith, Peter Butler","magic, mercenary, training, greek, sword fight, revenge, battlefield, fictional war, desert, tyrant, warrior, action hero, sword and sorcery, supernatural power",مصر,26.2540493,29.2675469,6
The Scorpion King,2002,3200-3000 BC,-3200,-3200,Egypt,"[28, 12, 14]",9334,en,"In ancient Egypt, peasant Mathayus is hired to exact revenge on the powerful Memnon and the sorceress Cassandra, who are ready to overtake Balthazar's village. Amid betrayals, thieves, abductions and more, Mathayus strives to bring justice to his complicated world.",28.308,The Scorpion King,FALSE,5.5,2525,"['Action', 'Adventure', 'Fantasy']","Dwayne Johnson, Kelly Hu, Michael Clarke Duncan, Steven Brand, Bernard Hill, Grant Heslov, Peter Facinelli, Ralf Moeller, Branscombe Richmond, Roger Rees, Sherri Howard, Conrad Roberts, Joseph Ruskin, Esteban Cueto, Nils Allen Stewart, Scott L. Schwartz, Pennelope Jimenez, Talani Rabb, Sean Michael Afable, Al Leong, Amy Hunter, Diana R. Lupo, Heather Burton, Nikki Flux, Summer Altice, Peter Quartaroli, Brandon Gonzalez, Gus Rethwisch, Richard Cetrone, Kitana Baker, Jennifer Bobiwash, Christie Campagna, Tyler Mane, Tracy Dali, Rose Davidson, Wayne Eric, Julie Michaels, Ed Verreaux, Marcus Young, Adoni Maropis, Marcio Rosario, Woon Young Park, Jim Maniaci, Paul Sloan","egypt, temple, magic, prequel, sword fight, battlefield, fictional war, spin off, desert, ancient egypt, tyrant, warrior, action hero, sword and sorcery, supernatural power",مصر,26.2540493,29.2675469,18
The Scorpion King 3: Battle for Redemption,2012,3100 BC,-3190,-3190,Egypt,"[28, 12, 14, 18]",78049,en,"Since his triumphant rise to power in the original blockbuster ""The Scorpion King"", Mathayus' kingdom has fallen and he's lost his queen to plague. Now an assassin for hire, he must defend a kingdom from an evil tyrant and his ghost warriors for the chance to regain the power and glory he once knew. Starring Ron Perlman (""Hellboy"") and Billy Zane (""Titanic""), and featuring 6-time WWE champion Dave Bautista and UFC star Kimbo Slice, ""The Scorpion King 3: Battle for Redemption"" takes ""The Mummy"" phenomenon to an all-new level of epic action and non-stop adventure.",39.989,The Scorpion King 3: Battle for Redemption,FALSE,4.5,267,"['Action', 'Adventure', 'Fantasy', 'Drama']","Victor Webster, Bostin Christopher, Temuera Morrison, Krystal Vee, Selina Lo, Ron Perlman, Kimbo Slice, Dave Bautista, Billy Zane, Johann Helf, Geoffrey Giuliano, Tanapol Chuksrida, J.D. Hall, Stephane Lambert, Damian Mavis, Jason Pace, Dean Alexandrou, Bruce Blain, Josiah D. Lee, Kelly Hu",,مصر,26.2540493,29.2675469,9
The Pharaohs' Woman,1960,3100 BC,-3100,-3100,Egypt,[],330623,en,"A beautiful girl and a young physician fall in love in the midst of a family, and power struggle between rival princes of Upper and Lower Egypt. When all seems to turn to the better, a dejected woman gets her revenge, and the couple's destruction.",0.6,The Pharaohs' Woman,FALSE,0,0,[],,,مصر,26.2540493,29.2675469,
