studio_id,studio_name,origin_country,movie_id,title,title list
18973.0,01 Distribution,IT,565179,The First King,The First King
18973.0,01 Distribution,IT,565179,The First King,The First King
124254.0,101 Studios,US,418879,The Current War,
25.0,20th Century Fox,US,29912,The Robe,
25.0,20th Century Fox,US,9361,The Last of the Mohicans,
25.0,20th Century Fox,US,43332,Demetrius and the Gladiators,
25.0,20th Century Fox,US,642,Butch Cassidy and the Sundance Kid,
25.0,20th Century Fox,US,62204,Quest for Fire,
25.0,20th Century Fox,US,118908,Centennial Summer,
25.0,20th Century Fox,US,20539,The Crucible,
25.0,20th Century Fox,US,9044,Tristan & Isolde,
25.0,20th Century Fox,US,65590,The Barbarian and the Geisha,
25.0,20th Century Fox,US,72976,Lincoln,
25.0,20th Century Fox,US,42567,David and Bathsheba,
25.0,20th Century Fox,US,44398,The Black Rose,
25.0,20th Century Fox,US,13495,Alatriste,
25.0,20th Century Fox,US,44398,The Black Rose,
25.0,20th Century Fox,US,168408,Esther and the King,
25.0,20th Century Fox,US,43011,Sodom and Gomorrah,
25.0,20th Century Fox,US,98010,Francis of Assisi,
25.0,20th Century Fox,US,1495,Kingdom of Heaven,
25.0,20th Century Fox,US,44398,The Black Rose,
25.0,20th Century Fox,US,44398,The Black Rose,
25.0,20th Century Fox,US,44398,The Black Rose,
25.0,20th Century Fox,US,2926,The Three Musketeers,
25.0,20th Century Fox,US,2926,The Three Musketeers,
25.0,20th Century Fox,US,44398,The Black Rose,
25.0,20th Century Fox,US,44398,The Black Rose,
25.0,20th Century Fox,US,73194,Drums Along the Mohawk,
25.0,20th Century Fox,US,44398,The Black Rose,
25.0,20th Century Fox,US,44398,The Black Rose,
25.0,20th Century Fox,US,44398,The Black Rose,
25.0,20th Century Fox,US,44398,The Black Rose,
25.0,20th Century Fox,US,44398,The Black Rose,
25.0,20th Century Fox,US,44398,The Black Rose,
25.0,20th Century Fox,US,44398,The Black Rose,
25.0,20th Century Fox,US,44398,The Black Rose,
25.0,20th Century Fox,US,44398,The Black Rose,
25.0,20th Century Fox,US,98248,A Walk with Love and Death,
25.0,20th Century Fox,US,24973,The Egyptian,
25.0,20th Century Fox,US,36815,The Agony and the Ecstasy,
25.0,20th Century Fox,US,2926,The Three Musketeers,
25.0,20th Century Fox,US,8619,Master and Commander: The Far Side of the World,
25.0,20th Century Fox,US,2926,The Three Musketeers,
25.0,20th Century Fox,US,8095,Cleopatra,
4985.0,20th Century Pictures,US,43893,Les Misérables,Les Misérables
4985.0,20th Century Pictures,US,103584,Clive of India,
4985.0,20th Century Pictures,US,286402,Cardinal Richelieu,
4985.0,20th Century Pictures,US,43893,Les Misérables,Les Misérables
127928.0,20th Century Studios,US,617653,The Last Duel,
4645.0,2T Produzione Film,,326088,The Erotic Dreams of Cleopatra,The Erotic Dreams of Cleopatra
4645.0,2T Produzione Film,,326088,The Erotic Dreams of Cleopatra,The Erotic Dreams of Cleopatra
19248.0,3 in the Box,,7278,Meet the Spartans,Meet the Spartans
19248.0,3 in the Box,,7278,Meet the Spartans,Meet the Spartans
19865.0,A Grand Elephant,,78049,The Scorpion King 3: Battle for Redemption,The Scorpion King 3: Battle for Redemption
19865.0,A Grand Elephant,,78049,The Scorpion King 3: Battle for Redemption,The Scorpion King 3: Battle for Redemption
18441.0,A+E Studios,US,170740,Benedict Arnold: A Question of Honor,
18441.0,A+E Studios,US,59172,Northanger Abbey,
76576.0,ABC Television,,193114,A Story of David,
1869.0,AMLF,,9361,The Last of the Mohicans,
1869.0,AMLF,,11416,The Mission,
1869.0,AMLF,,279,Amadeus,
107023.0,ANSA,,92750,David and Goliath,
1251.0,ARD,DE,169881,The Physician,
1251.0,ARD,DE,2712,Jacob,
1251.0,ARD,DE,761772,Louis van Beethoven,
1251.0,ARD,DE,5653,Luther,
6187.0,ARD/Degeto Film,DE,169881,The Physician,
6187.0,ARD/Degeto Film,DE,9503,Pope Joan,
3676.0,ASA Film Production,DK,198783,Hagbard and Signe,
494.0,AVCO Embassy Pictures,US,18988,The Lion in Winter,
494.0,AVCO Embassy Pictures,US,18988,The Lion in Winter,
494.0,AVCO Embassy Pictures,US,18988,The Lion in Winter,
494.0,AVCO Embassy Pictures,US,18988,The Lion in Winter,
16401.0,Aashirvad Cinemas,IN,617405,Marakkar: Lion of the Arabian Sea,
60688.0,Achim Pictures,KR,61128,Shadows in the Palace,
152155.0,Adam Schroeder Entertainment,,2668,Sleepy Hollow,
10156.0,Affirm Films,US,335778,Risen,
4542.0,Agamemnon Films,,26612,Treasure Island,
266.0,Agencja Produkcji Filmowej,PL,31273,With Fire and Sword,
4336.0,Ajay Devgn Films,IN,584850,Tanhaji: The Unsung Warrior,
3997.0,Alberta Film Entertainment,,4512,The Assassination of Jesse James by the Coward Robert Ford,
7381.0,Alberto Grimaldi Productions,,3131,Gangs of New York,
1088.0,Alcon Entertainment,US,19076,The Affair of the Necklace,
1264.0,Alexander Salkind,,2926,The Three Musketeers,
1264.0,Alexander Salkind,,2926,The Three Musketeers,
1264.0,Alexander Salkind,,2926,The Three Musketeers,
1264.0,Alexander Salkind,,2926,The Three Musketeers,
60063.0,Alexandra Produzioni Cinematografiche,,168479,Legions of the Nile,Legions of the Nile
60063.0,Alexandra Produzioni Cinematografiche,,168479,Legions of the Nile,Legions of the Nile
2480.0,Alliance Communications Corporation,,41784,Black Robe,
2514.0,Alliance Films,CA,11632,Vanity Fair,
4928.0,Allied Artists Pictures,,75796,The Dark Avenger,
4928.0,Allied Artists Pictures,,16638,El Cid,
78049.0,Allied Entertainments Group PLC,,48485,Nostradamus,
1755.0,Allied Filmmakers,GB,581,Dances with Wolves,
163581.0,Allied Producers,,727288,Richard the Lion-Hearted,
11462.0,Alphaville Films,,78049,The Scorpion King 3: Battle for Redemption,The Scorpion King 3: Battle for Redemption
11462.0,Alphaville Films,,9334,The Scorpion King,
11462.0,Alphaville Films,,78049,The Scorpion King 3: Battle for Redemption,The Scorpion King 3: Battle for Redemption
3502.0,Alquimia Cinema,,24180,Napoleon and Me,
60294.0,Alta Vista,,131387,Marco Polo,
20580.0,Amazon Studios,US,399440,Peterloo,
56.0,Amblin Entertainment,US,72976,Lincoln,
9266.0,American International Pictures,US,150912,Goliath and the Sins of Babylon,Goliath and the Sins of Babylon
9266.0,American International Pictures,US,150912,Goliath and the Sins of Babylon,Goliath and the Sins of Babylon
9266.0,American International Pictures,US,31965,Witchfinder General,
9266.0,American International Pictures,US,158157,Goliath and the Barbarians,
9266.0,American International Pictures,US,88266,Erik the Conqueror,
70.0,American Zoetrope,US,2668,Sleepy Hollow,
70.0,American Zoetrope,US,1887,Marie Antoinette,
54190.0,Amy International,,115457,Stealing Heaven,
10329.0,Anglo-Amalgamated Film Distributors,,5066,Carry On Cleo,Carry On Cleo
10329.0,Anglo-Amalgamated Film Distributors,,5066,Carry On Cleo,Carry On Cleo
5041.0,Anglo-EMI,GB,71924,Henry VIII and His Six Wives,
739.0,Anomaly Entertainment,,1590,Copying Beethoven,
10039.0,Anonymous Content,US,454227,Outlaw King,
10039.0,Anonymous Content,US,281957,The Revenant,
17462.0,Antietam Filmworks,,16072,Gods and Generals,
20664.0,Anton Capital Entertainment (ACE),,225728,Macbeth,
118964.0,Apo Film,,60915,I Am Semiramis,
3299.0,ApolloMovie Beteiligungs,,13486,The Scorpion King 2: Rise of a Warrior,
19951.0,ApolloProMedia GmbH & Co. 1. Filmproduktion KG (I),,9044,Tristan & Isolde,
562.0,Appian Way,US,281957,The Revenant,
562.0,Appian Way,US,375588,Robin Hood,
5346.0,Applause Pictures,,14392,The Warlords,
14091.0,Arcola Pictures,US,11085,Mutiny on the Bounty,
25087.0,Arnon Milchan Productions,,8583,Dangerous Beauty,
8438.0,Art Films,GR,178184,Μπουμ Ταρατατζούμ,Μπουμ Ταρατατζούμ
8438.0,Art Films,GR,178184,Μπουμ Ταρατατζούμ,Μπουμ Ταρατατζούμ
1521.0,Artemis Film,DE,33583,The Decameron,
63306.0,Artikulo Uno Productions,,359105,Heneral Luna,
