Title,Release date,Time Period,Start Time,End Time,Location,genre_ids,movie_id,original_language,overview,popularity,title,video,vote_average,vote_count,genres
Quest for Fire,1981,"80,000 BC",-80000,-80000,Europe,"[12, 18]",62204,fr,"A colossal adventure odyssey that turns back the hands of time to the very beginning of man's existence. 80,000 years ago, when man roamed the earth, he was exposed to the many harsh elements of nature. Against the perilous atmosphere of rugged terrain, rival tribes and savage beasts, Quest for Fire examines a peaceful tribe's search for that all important element fire, and the knowledge to create it. Focusing on human dream as well as realistic insights into pre-historic man, the constant struggle for survival is vividly recreated in this sensational production.",9.704,Quest for Fire,False,7.1,363.0,"['Adventure', 'Drama']"
The Clan of the Cave Bear,1986,"40,000 - 35,000 BC",-40000,-40000,Europe,"[12, 18]",13853,en,"Natural changes have the clans moving. Iza, medicine woman of the ""Clan of the Cave Bear"" finds little Ayla from the ""others""' clan - tradition would have the clan kill Ayla immediately, but Iza insists on keeping her. When the little one finds a most needed new cave, she's allowed to stay - and thrive.",7.897,The Clan of the Cave Bear,False,5.1,88.0,"['Adventure', 'Drama']"
Alpha,2018,"20,000 BC",-20000,-20000,Europe,"[12, 18]",399360,en,"In the prehistoric past, Keda, a young and inexperienced hunter, struggles to return home after being separated from his tribe when bison hunting goes awry. On his way back he will find an unexpected ally.",37.783,Alpha,False,6.4,2105.0,"['Adventure', 'Drama']"
"10,000 BC",2008,"10,000 BC",-10000,-10000,Europe,"[12, 28, 18, 14]",7840,en,A prehistoric epic that follows a young mammoth hunter's journey through uncharted territory to secure the future of his tribe.,25.276,"10,000 BC",False,5.4,2396.0,"['Adventure', 'Action', 'Drama', 'Fantasy']"
Gods of Egypt,2016,3200 BC,-3200,-3200,Egypt,"[28, 12, 14]",205584,en,A common thief joins a mythical god on a quest through Egypt.,51.141,Gods of Egypt,False,5.6,3378.0,"['Action', 'Adventure', 'Fantasy']"
The Scorpion King,2002,3200-3000 BC,-3200,-3200,Egypt,"[28, 12, 14]",9334,en,"In ancient Egypt, peasant Mathayus is hired to exact revenge on the powerful Memnon and the sorceress Cassandra, who are ready to overtake Balthazar's village. Amid betrayals, thieves, abductions and more, Mathayus strives to bring justice to his complicated world.",36.66,The Scorpion King,False,5.5,2515.0,"['Action', 'Adventure', 'Fantasy']"
The Pharaohs' Woman,1960,3100 BC,-3100,-3100,Egypt,[],330623,en,"A beautiful girl and a young physician fall in love in the midst of a family, and power struggle between rival princes of Upper and Lower Egypt. When all seems to turn to the better, a dejected woman gets her revenge, and the couple's destruction.",0.6,The Pharaohs' Woman,False,0.0,0.0,[]
Cleopatra's Daughter,1960,2589-2566 BC,-2589,-2566,Egypt,"[12, 18, 10749]",257797,it,"The beautiful young Sushila is forced into a political marriage with young Pharaoh Nemorat in order to consolidate power. However, the young Pharaoh is beset with mental illness and the marriage becomes dangerous, all the while the chief advisor Kefren and his scheming mistress plot to destroy the unstable pair.",1.12,Cleopatra's Daughter,False,5.2,3.0,"['Adventure', 'Drama', 'Romance']"
Cleopatra's Daughter,1960,2589-2566 BC,-2589,-2566,Egypt,"[12, 18, 10749]",257797,it,"The beautiful young Sushila is forced into a political marriage with young Pharaoh Nemorat in order to consolidate power. However, the young Pharaoh is beset with mental illness and the marriage becomes dangerous, all the while the chief advisor Kefren and his scheming mistress plot to destroy the unstable pair.",1.12,Cleopatra's Daughter,False,5.2,3.0,"['Adventure', 'Drama', 'Romance']"
Sudan,1945,2558-2532 BC,-2558,-2532,Egypt,"[12, 28, 10749]",137584,en,"A desert pickpocket, his sidekick, and an escaped slave help an incognito queen in danger.",2.476,Sudan,False,6.8,4.0,"['Adventure', 'Action', 'Romance']"
Mohenjo Daro,2016,2500 - 2000 BC,-2500,-2500,Mohenjo-daro,"[12, 18, 36, 10749]",402672,hi,"During the Indus valley civilization, an Indigo farmer strives for the justice and protection of the city of Mohenjo-Daro and its civilians from an evil politician.",7.042,Mohenjo Daro,False,6.4,61.0,"['Adventure', 'Drama', 'History', 'Romance']"
Mohenjo Daro,2016,2500 - 2000 BC,-2500,-2500,Mohenjo-daro,"[12, 18, 36, 10749]",402672,hi,"During the Indus valley civilization, an Indigo farmer strives for the justice and protection of the city of Mohenjo-Daro and its civilians from an evil politician.",7.042,Mohenjo Daro,False,6.4,61.0,"['Adventure', 'Drama', 'History', 'Romance']"
