,genre_ids,id,overview,popularity,release_date,title,vote_average,vote_count,keyword,est_date
0,"[18, 36, 35]",31561,The aging Caesar finds himself intrigued by the young Egyptian queen. Adapted by George Bernard Shaw from his own play.,6.6,1945-12-11,Caesar and Cleopatra,6.3,36,['Egypt'],[-3150]
1,"[18, 10749, 12]",29993,"When strongman Samson rejects the love of the beautiful Philistine woman Delilah, she seeks vengeance that brings horrible consequences they both regret. The classic story of Samson and Delilah as told by Cecil B. DeMille.",20.727,1949-12-21,Samson and Delilah,6.5,127,['Samson'],[-1118]
2,"[18, 10749, 36]",42567,"King David enters into an adulterous affair with the beautiful Bathsheba, which has tragic consequences for his family and Israel.",5.137,1951-08-10,David and Bathsheba,6.4,35,['Bathsheba'],[-975]
3,"[36, 12]",114771,"Cleopatra (Rhonda Fleming) toys with Mark Antony (Raymond Burr), who wants to merge his Rome with her Egypt.",2.088,1953-05-08,Serpent of the Nile,7.7,3,"['Egypt', 'Rome', 'Mark Antony', 'Cleopatra']","[-3150, -753, -83, -51]"
4,"[36, 12]",350806,"The Jews are taken from Jerusalem and made slaves by King Nebuchadnezzar. In the meantime Cyrus, king of the Persians, who has been living as a shepherd, is proclaimed king and defeats Nebuchadnezzar.",1.133,1953-10-21,Slaves of Babylon,6.0,1,"['Jerusalem', 'Cyrus', 'Persia', 'Persian']","[-2800, -550, -550, -550]"
5,"[36, 18]",24973,"In eighteenth-dynasty Egypt, Sinuhe, a poor orphan, becomes a brilliant physician and with his friend Horemheb is appointed to the service of the new Pharoah. Sinuhe's personal triumphs and tragedies are played against the larger canvas of the turbulent events of the 18th dynasty. As Sinuhe is drawn into court intrigues he learns the answers to the questions he has sought since his birth.",6.438,1954-08-25,The Egyptian,6.1,54,"['Egypt', 'Pharoah']","[-3150, -3150]"
6,"[18, 12, 28]",223168,"In this Biblical epic, a brave Chaldean rebel takes on his evil nemesis, a cruel Assyrian king. En route to his fateful meeting, the rebel hides in the humble hut of a luscious peasant girl.",1.219,1954-09-21,The Queen of Babylon,4.0,1,['Assyria'],[-1500]
7,[12],113743,"Rome is on the verge of being conquered by Hannibal (Howard Keel). While Rome's ruler, Fabius Maximus (George Sanders), plots a defense against Hannibal's armies, Fabius' fiancée, Amytis (Esther Williams), is curious about the fearless conquerer. Amytis travels to Hannibal's camp just to get a look at him, but she ends up being captured. However, she is instantly smitten by the Carthaginian commander, so she tries to shift his attentions away from Rome -- and to her instead.",1.787,1955-02-18,Jupiter's Darling,4.0,2,"['Rome', 'Hannibal', 'Carthaginian']","[-753, -218, -218]"
8,[35],298509,Comedic retelling of the events around the biblical character: Samson.,1.124,1955-10-06,Lo que le pasó a Sansón,6.9,7,['Samson'],[-1118]
9,"[28, 12, 18, 36, 10752]",42668,"He was a fierce military commander who led huge armies into battle without a single defeat; a magnificent warrior who many believed was part god - this was Alexander the Great (Richard Burton), the legendary Greek hero hailed by his countrymen as ""The King of Kings"". Born in 356 B.C. into a turbulent world of political unrest, educated by Aristotle (Barry Jones) and chosen to lead his people in the grand tradition of his powerful father (Fredric March), this glamorous world conqueror rose above all conflict to unite the continents of Europe and Asia to become one of the most celebrated rulers of all time! Written, produced and directed by Oscar - winner Robert Rossen and featuring the extraordinary Claire Bloom and a remarkable cast of thousands, this stunning portrait of one of history's most fascinating figures is colossal entertainment and an amazing spectacle.",9.028,1956-03-28,Alexander the Great,5.8,57,"['Aristotle', 'Alexander the Great']","[-384, -356]"
10,"[18, 36]",6844,"Escaping death, a Hebrew infant is raised in a royal household to become a prince. Upon discovery of his true heritage, Moses embarks on a personal quest to reclaim his destiny as the leader and liberator of the Hebrew people.",38.509,1956-10-05,The Ten Commandments,7.7,1047,['Moses'],[-1250]
11,"[36, 28]",61010,"Sold as slaves to a wealthy Roman, Lea and Esther, two Carthaginian sisters, are offered as gifts to the ambitious daughter of a proconsul and end up involved in spite of themselves in a dangerous game of power.",1.307,1956-12-13,The Sword and the Cross,5.0,4,['Carthaginian'],[-218]
12,"[12, 10749]",210944,"Omar Khayyam was one of the greatest Persian poets. He was also a brilliant mathematician. Though his quatrains were written in the 11th century, they are still popular the world over. The details of his life are unknown, so this movie invents a biography for him and includes in it his real achievements - the invention of a new calendar and the penning of those epigrammatic poems. This film has him romancing a sultan's bride and foiling the assassin sect's plot to kill the sultan's son.",1.093,1957-08-23,Omar Khayyam,5.0,4,"['Persia', 'Persian']","[-550, -550]"
13,"[36, 18, 12]",168479,"Octavio secretly sent his consul Curridio to Alexandria in a final attempt to reach peace. In the city, he meets Berenice, a mysterious and beautiful dancer who falls in love. Actually, the dancer is the queen Cleopatra who leads a double life using this name.",2.728,1959-11-27,Legions of the Nile,5.0,4,['Cleopatra'],[-51]
14,"[36, 12, 18, 10752]",18696,A Greek soldier leads the fight against an invading Persian army.,2.364,1959-12-03,The Giant of Marathon,5.4,18,"['Persia', 'Persian']","[-550, -550]"
