Title,Release date,Time Period,Start Time,End Time,Diff,Notes on setting,Location
The Clan of the Cave Bear,1986,"40,000 - 35,000 BC",-40000,-40000,0,In times of Neanderthal extinction,Europe
The Rising Sea,1953,1848-49,1848,1849,1,"Epic Hungarian movie in Communist style about the 1848–49 Revolution and War of Freedom in Hungary, and about the great Hungarian poet Sándor Pet?fi. Known with the title: Föltámadott a tenger",Hungary
Men and Banners,1965,1848-49,1848,1849,1,Epic Hungarian movie about the 1848–49 Revolution and War of Freedom in Hungary. Known with the title A k?szív? ember fiai,Hungary
The Opium War,1997,1839-42,1839,1842,3,"historical epic film about the First Opium War, told through the eyes of Lin Zexu and Charles Elliot",China
The Sound of a Flower,2015,1867-84,1867,1884,17,About the life of the Korean pansori singer Shin Jae-hyo.,Korea
Chi-hwa-seon,2002,1843-97,1843,1897,54,About the life of Korean painter Oh-won.,Korea
War of the Arrows,2011,1636-7,1636,1636,0,Set during the second Manchu invasion of Korea.,Korea
Mohenjo Daro,2016,2500 - 2000 BC,-2500,-2500,0,"Fictional story set in Mohenjo-daro, a city of the Bronze Age Indus Valley Civilization.",Mohenjo-daro
Sansho the Bailiff,1954,794-1185,1050,1050,0,Awards: 1 Silver Lion,Japan
Fall of Ming,2013,1368-1644,1642,1644,2,,China
Brotherhood of Blades,2014,1368-1644,1642,1644,2,,China
The Cleopatras,1983,305-30 BC,-305,-30,275,Egypt – The entire Ptolemaic dynasty,Egypt
Bloody Spear at Mount Fuji,1955,1603-1868,1603,1868,265,Awards: 1 Blue Ribbon Award,Japan
Yagy? Ren'yasai: Hidentsuki Kagesh?,1956,1603-1868,1603,1868,265,,Japan
Ancient Rome: The Rise and Fall of an Empire,2006,146 BC-410 AD,-146,-410,264,From Tiberius Gracchus to the Sack of Rome (410). BBC Docu-drama.,Rome
Little Big Soldier,2010,475-221 BC,-475,-221,254,"an action-comedy film set in the Warring States period, about a war between the Liang and Wey states",China
Barbarians Rising,2016,218 BC-455 AD,-218,-455,237,From the Second Punic War to the Sack of Rome (455). History channel Docu-drama.,Rome
The Scorpion King,2002,3200-3000 BC,-3200,-3200,0,"A fantasy action film based on historical king of the Protodynastic Period of Egypt, King Scorpion.",Egypt
Mulan Joins the Army,1939,ca. 567-571,386,534,148,based on the legend of Hua Mulan,China
Mulan,2009,ca. 386-534,386,534,148,based on the legend of Hua Mulan,China
Amaya,2010,1400-1521,1400,1521,121,The film depicting the Philippines during the Classical Period.,Philippines
